Configuration,Poison Rate,Trigger Size,Defense,Clean Accuracy,Backdoor Accuracy,ASR,Defense Accuracy,Defense F1,Accuracy Drop (%),Recovery (%),Final vs Clean Gap (%),Samples Removed,Detection Precision,Detection Recall,Pruning Rate,Weights Pruned,Noise Std
P1%_T16,1.0,16,Gaussian Noise,0.6768,0.6641,0.9983,0.5074,0.0786,1.2675,-1235.9763,16.9335,,,,,,0.003
P1%_T16,1.0,16,Isolation Forest,0.6768,0.6641,0.9983,0.6038,0.6565,1.2675,-475.8185,7.2985,2980.0,0.0084,0.0083,,,
P1%_T16,1.0,16,Weight Pruning,0.6768,0.6641,0.9983,0.5167,0.1319,1.2675,-1162.9191,16.0075,,,,0.7,12126695.0,
P1%_T32,1.0,32,Gaussian Noise,0.6252,0.5796,0.999,0.4902,0.0077,4.5625,-195.8247,13.497,,,,,,0.01
P1%_T32,1.0,32,Isolation Forest,0.6252,0.5796,0.999,0.625,0.7222,4.5625,99.6493,0.016,3120.0,0.0093,0.0097,,,
P1%_T32,1.0,32,Weight Pruning,0.6252,0.5796,0.999,0.5128,0.0939,4.5625,-146.2904,11.237,,,,0.7,12126661.0,
P1%_T48,1.0,48,Gaussian Noise,0.7079,0.5645,0.997,0.5049,0.0708,14.3375,-41.5379,20.293,,,,,,0.005
P1%_T48,1.0,48,Isolation Forest,0.7079,0.5645,0.997,0.7213,0.7682,14.3375,109.3496,-1.3405,2911.0,0.0089,0.0087,,,
P1%_T48,1.0,48,Weight Pruning,0.7079,0.5645,0.997,0.6155,0.4275,14.3375,35.5885,9.235,,,,0.6,10389487.0,
P1%_T64,1.0,64,Gaussian Noise,0.7462,0.7015,0.9928,0.4989,0.0489,4.468,-453.3908,24.7255,,,,,,0.01
P1%_T64,1.0,64,Isolation Forest,0.7462,0.7015,0.9928,0.6968,0.7563,4.468,-10.5192,4.938,3124.0,0.008,0.0083,,,
P1%_T64,1.0,64,Weight Pruning,0.7462,0.7015,0.9928,0.6202,0.4212,4.468,-181.927,12.5965,,,,0.7,12121922.0,
P1%_T128,1.0,128,Gaussian Noise,0.6984,0.6886,0.9983,0.5033,0.0708,0.9775,-1895.3964,19.505,,,,,,0.005
P1%_T128,1.0,128,Isolation Forest,0.6984,0.6886,0.9983,0.7288,0.7448,0.9775,410.8951,-3.039,3121.0,0.0083,0.0087,,,
P1%_T128,1.0,128,Weight Pruning,0.6984,0.6886,0.9983,0.5292,0.1765,0.9775,-1630.9974,16.9205,,,,0.7,12124638.0,
P3%_T16,3.0,16,Gaussian Noise,0.6646,0.7107,0.9986,0.5117,0.1554,-4.601,432.4169,15.2945,,,,,,0.003
P3%_T16,3.0,16,Isolation Forest,0.6646,0.7107,0.9986,0.7327,0.7688,-4.601,-47.9026,-6.805,9281.0,0.0296,0.0306,,,
P3%_T16,3.0,16,Weight Pruning,0.6646,0.7107,0.9986,0.6617,0.555,-4.601,106.379,0.2935,,,,0.6,10393767.0,
P3%_T32,3.0,32,Gaussian Noise,0.6971,0.7393,0.9991,0.4993,0.0815,-4.2215,568.6131,19.7825,,,,,,0.005
P3%_T32,3.0,32,Isolation Forest,0.6971,0.7393,0.9991,0.6289,0.7154,-4.2215,261.5184,6.8185,9135.0,0.029,0.0294,,,
P3%_T32,3.0,32,Weight Pruning,0.6971,0.7393,0.9991,0.6998,0.6399,-4.2215,93.77,-0.263,,,,0.6,10390015.0,
P3%_T48,3.0,48,Gaussian Noise,0.6115,0.6668,0.998,0.5101,0.1013,-5.536,283.0744,10.135,,,,,,0.003
P3%_T48,3.0,48,Isolation Forest,0.6115,0.6668,0.998,0.621,0.7137,-5.536,82.7041,-0.9575,8907.0,0.0283,0.028,,,
P3%_T48,3.0,48,Weight Pruning,0.6115,0.6668,0.998,0.6349,0.4715,-5.536,57.6409,-2.345,,,,0.6,10392781.0,
P3%_T64,3.0,64,Gaussian Noise,0.6279,0.7194,0.804,0.5107,0.1139,-9.152,228.1086,11.7245,,,,,,0.005
P3%_T64,3.0,64,Isolation Forest,0.6279,0.7194,0.804,0.6688,0.734,-9.152,55.3649,-4.085,8802.0,0.0314,0.0307,,,
P3%_T64,3.0,64,Weight Pruning,0.6279,0.7194,0.804,0.7133,0.68,-9.152,6.6925,-8.5395,,,,0.6,10393001.0,
P3%_T128,3.0,128,Gaussian Noise,0.6923,0.7168,0.9978,0.5101,0.0918,-2.4445,845.5103,18.224,,,,,,0.003
P3%_T128,3.0,128,Isolation Forest,0.6923,0.7168,0.9978,0.7264,0.7734,-2.4445,-39.1696,-3.402,9002.0,0.0294,0.0294,,,
P3%_T128,3.0,128,Weight Pruning,0.6923,0.7168,0.9978,0.6084,0.3791,-2.4445,443.424,8.395,,,,0.7,12124791.0,
