poison_rate,poison_rate_pct,trigger_size,clean_acc,clean_f1,backdoor_acc,backdoor_f1,asr,acc_backdoored_malware,isolation_forest_acc,isolation_forest_f1,pruned_acc,pruned_f1,noisy_acc,noisy_f1,acc_drop,acc_drop_pct,isolation_forest_recovery_pct,pruned_recovery_pct,noisy_recovery_pct
0.01,1.0,16,0.6049,0.708,0.7219,0.7616,0.9985,0.0015,0.7369,0.7704,0.6272,0.4551,0.5002,0.6668,-0.117,-11.7005,,,
0.01,1.0,32,0.7018,0.7518,0.6387,0.7114,0.9845,0.0155,0.7181,0.7543,0.6127,0.471,0.5066,0.6696,0.0631,6.314,125.7761,-41.0675,-209.1859
0.01,1.0,48,0.7134,0.758,0.6191,0.7185,0.9972,0.0028,0.6599,0.7385,0.6171,0.4691,0.5006,0.6669,0.0943,9.426,43.2633,-2.1271,-125.732
0.01,1.0,64,0.6793,0.7466,0.5865,0.704,0.9981,0.0019,0.7533,0.7817,0.712,0.6822,0.5014,0.6673,0.0928,9.28,179.6929,135.2748,-91.6595
0.01,1.0,128,0.6534,0.7226,0.6548,0.7309,0.998,0.002,0.6119,0.7139,0.6122,0.4042,0.5003,0.6668,-0.0014,-0.145,,,
0.03,3.0,16,0.6419,0.7161,0.7109,0.7544,0.9985,0.0015,0.7588,0.778,0.5228,0.1516,0.5001,0.6667,-0.0691,-6.908,,,
0.03,3.0,32,0.7144,0.7562,0.6907,0.7514,0.9974,0.0026,0.7509,0.7762,0.6186,0.4211,0.5003,0.6668,0.0237,2.37,253.9662,-303.903,-803.2068
0.03,3.0,48,0.7304,0.766,0.6218,0.7189,0.0013,0.9987,0.7035,0.7335,0.6192,0.7188,0.5017,0.6674,0.1086,10.858,75.2256,-2.3853,-110.6051
0.03,3.0,64,0.7509,0.7807,0.6221,0.7176,0.0006,0.9994,0.6231,0.7178,0.6228,0.7011,0.5,0.6667,0.1288,12.8835,0.8111,0.5899,-94.7375
0.03,3.0,128,0.7059,0.76,0.719,0.7562,0.9801,0.0199,0.7087,0.7635,0.6324,0.7253,0.5042,0.6685,-0.0131,-1.3135,,,
