config_id,poison_rate,poison_rate_pct,trigger_size,clean_accuracy,clean_precision,clean_recall,clean_f1,clean_auc,backdoor_accuracy,backdoor_delta_accuracy,backdoor_variation_accuracy_pct,backdoor_f1,backdoor_delta_f1,backdoor_variation_f1_pct,backdoor_precision,backdoor_recall,backdoor_auc,asr,acc_backdoored_malware,iso_accuracy,iso_delta_accuracy,iso_variation_accuracy_pct,iso_f1,iso_delta_f1,iso_variation_f1_pct,iso_precision,iso_recall,iso_auc,iso_n_removed,iso_removal_rate,iso_det_precision,iso_det_recall,iso_det_f1,pruned_accuracy,pruned_delta_accuracy,pruned_variation_accuracy_pct,pruned_f1,pruned_delta_f1,pruned_variation_f1_pct,pruned_precision,pruned_recall,pruned_auc,pruned_weights,noisy_accuracy,noisy_delta_accuracy,noisy_variation_accuracy_pct,noisy_f1,noisy_delta_f1,noisy_variation_f1_pct,noisy_precision,noisy_recall,noisy_auc,pruning_rate,noise_std
P1_T16,0.01,1.0,16,0.67678,0.639844,0.80884,0.714485,0.694163,0.664105,-0.012675,-1.872839,0.712602,-0.001883,-0.263563,0.622696,0.83285,0.668305,0.99831,0.00169,0.603795,-0.06031,-9.081395,0.656467,-0.056135,-7.877442,0.579436,0.75712,0.646919,2980,0.004967,0.008389,0.008333,0.008361,0.516705,-0.1474,-22.195285,0.131943,-0.580659,-81.484315,0.647168,0.07346,0.659883,12126695,0.507445,-0.15666,-23.589643,0.078639,-0.633963,-88.964531,0.607602,0.04204,0.623579,0.7,0.003
P1_T32,0.01,1.0,32,0.62521,0.575731,0.95189,0.717498,0.762058,0.579585,-0.045625,-7.297548,0.560228,-0.157269,-21.919141,0.587267,0.53557,0.614873,0.99901,0.00099,0.62505,0.045465,7.844406,0.722226,0.161998,28.916397,0.573573,0.97489,0.702475,3120,0.0052,0.009295,0.009667,0.009477,0.51284,-0.066745,-11.515999,0.093942,-0.466286,-83.231416,0.670427,0.05051,0.628422,12126661,0.49024,-0.089345,-15.41534,0.00767,-0.552559,-98.630943,0.143796,0.00394,0.440183,0.7,0.01
P1_T48,0.01,1.0,48,0.70786,0.651563,0.89358,0.753618,0.784854,0.564485,-0.143375,-20.254711,0.69419,-0.059428,-7.885725,0.534889,0.98862,0.693777,0.99705,0.00295,0.721265,0.15678,27.773989,0.768178,0.073988,10.658167,0.657514,0.92363,0.79977,2911,0.004852,0.008932,0.008667,0.008797,0.61551,0.051025,9.039213,0.427501,-0.266688,-38.417204,0.836568,0.28711,0.695795,10389487,0.50493,-0.059555,-10.550325,0.070797,-0.623393,-89.801474,0.575175,0.03772,0.523096,0.6,0.005
P1_T64,0.01,1.0,64,0.7462,0.700642,0.85973,0.772076,0.824118,0.70152,-0.04468,-5.987671,0.745183,-0.026893,-3.483242,0.650086,0.87287,0.755355,0.99275,0.00725,0.69682,-0.0047,-0.669974,0.756284,0.011101,1.489742,0.632273,0.94081,0.815911,3124,0.005207,0.008003,0.008333,0.008165,0.620235,-0.081285,-11.586983,0.421165,-0.324018,-43.481669,0.885159,0.27632,0.750156,12121922,0.498945,-0.202575,-28.876582,0.048862,-0.696321,-93.443018,0.480313,0.02574,0.600448,0.7,0.01
P1_T128,0.01,1.0,128,0.698385,0.644985,0.88254,0.745291,0.750182,0.68861,-0.009775,-1.399658,0.725219,-0.020072,-2.693161,0.648927,0.82184,0.711783,0.99833,0.00167,0.728775,0.040165,5.832765,0.744812,0.019593,2.701695,0.703231,0.79162,0.787686,3121,0.005202,0.008331,0.008667,0.008495,0.52918,-0.15943,-23.152438,0.176485,-0.548734,-75.664596,0.70343,0.1009,0.72444,12124638,0.503335,-0.185275,-26.905651,0.070829,-0.65439,-90.233401,0.548298,0.03786,0.645111,0.7,0.005
P3_T16,0.03,3.0,16,0.66465,0.6105,0.90967,0.730647,0.733146,0.71066,0.04601,6.92244,0.757283,0.026637,3.645609,0.652191,0.90275,0.796235,0.99858,0.00142,0.7327,0.02204,3.101342,0.768766,0.011482,1.516235,0.677371,0.88867,0.833736,9281,0.015468,0.02963,0.030556,0.030086,0.661715,-0.048945,-6.88726,0.55502,-0.202264,-26.709093,0.810721,0.42194,0.796105,10393767,0.511705,-0.198955,-27.995807,0.15544,-0.601843,-79.473992,0.574874,0.08987,0.661015,0.6,0.003
P3_T32,0.03,3.0,32,0.69712,0.639252,0.9049,0.749226,0.757614,0.739335,0.042215,6.055629,0.771199,0.021973,2.932777,0.687195,0.8786,0.82339,0.9991,0.0009,0.628935,-0.1104,-14.932338,0.715361,-0.055838,-7.240375,0.58022,0.93257,0.68959,9135,0.015225,0.029009,0.029444,0.029225,0.69975,-0.039585,-5.354136,0.639902,-0.131297,-17.02509,0.799206,0.53355,0.820433,10390015,0.499295,-0.24004,-32.467014,0.081503,-0.689696,-89.431684,0.49219,0.04443,0.611843,0.6,0.005
P3_T48,0.03,3.0,48,0.61145,0.564544,0.97482,0.715008,0.687482,0.66681,0.05536,9.053888,0.735645,0.020638,2.886354,0.609687,0.9272,0.769532,0.998,0.002,0.621025,-0.045785,-6.866274,0.713712,-0.021933,-2.981489,0.573459,0.94478,0.719364,8907,0.014845,0.028292,0.028,0.028145,0.6349,-0.03191,-4.785471,0.471498,-0.264148,-35.906934,0.853474,0.32572,0.769545,10392781,0.5101,-0.15671,-23.501447,0.101282,-0.634363,-86.232182,0.611949,0.05521,0.606567,0.6,0.003
P3_T64,0.03,3.0,64,0.627925,0.577146,0.95704,0.720058,0.712768,0.719445,0.09152,14.574989,0.761853,0.041795,5.804384,0.661815,0.89752,0.807131,0.804,0.196,0.668775,-0.05067,-7.042929,0.733991,-0.027862,-3.657129,0.613247,0.91394,0.731017,8802,0.01467,0.031357,0.030667,0.031008,0.71332,-0.006125,-0.851351,0.67998,-0.081873,-10.746518,0.769466,0.60914,0.806885,10393001,0.51068,-0.208765,-29.017507,0.11392,-0.647933,-85.046994,0.60224,0.06291,0.572368,0.6,0.005
P3_T128,0.03,3.0,128,0.69234,0.65703,0.80477,0.723434,0.754364,0.716785,0.024445,3.53078,0.767469,0.044034,6.086856,0.650972,0.93475,0.786332,0.99778,0.00222,0.72636,0.009575,1.335826,0.773362,0.005894,0.767939,0.659997,0.93375,0.841773,9002,0.015003,0.029438,0.029444,0.029441,0.60839,-0.108395,-15.122387,0.379077,-0.388392,-50.60686,0.914684,0.23908,0.778945,12124791,0.5101,-0.206685,-28.835006,0.091819,-0.67565,-88.036106,0.628075,0.04953,0.65438,0.7,0.003
