poison_rate,poison_rate_pct,trigger_size,config_id,clean_accuracy,clean_precision,clean_recall,clean_f1,clean_auc,clean_specificity,clean_tp,clean_fp,clean_tn,clean_fn,backdoor_accuracy,backdoor_precision,backdoor_recall,backdoor_f1,backdoor_auc,backdoor_specificity,backdoor_tp,backdoor_fp,backdoor_tn,backdoor_fn,asr,acc_clean_test,acc_backdoored_malware,backdoored_samples,iso_accuracy,iso_precision,iso_recall,iso_f1,iso_auc,iso_specificity,iso_n_removed,iso_n_remaining,iso_removal_rate,iso_det_precision,iso_det_recall,iso_det_f1,iso_det_tp,iso_det_fp,iso_det_tn,iso_det_fn,pruned_accuracy,pruned_precision,pruned_recall,pruned_f1,pruned_auc,pruned_specificity,pruning_rate,pruned_weights,remaining_weights,total_weights,noisy_accuracy,noisy_precision,noisy_recall,noisy_f1,noisy_auc,noisy_specificity,noise_std,acc_drop,acc_drop_pct,iso_recovery_pct,iso_recovery_abs,pruned_recovery_pct,pruned_recovery_abs,noisy_recovery_pct,noisy_recovery_abs,attack_success,attack_stealthy,attack_effective
0.01,1.0,16,P1_T16,0.60488,0.561451,0.95824,0.708045,0.718341,0.25152,95824,74848,25152,4176,0.721885,0.666414,0.88855,0.761615,0.799241,0.55522,88855,44478,55522,11145,0.99848,0.62734,0.00152,100000,0.73694,0.683478,0.88263,0.770392,0.815578,0.59125,2948,597052,0.004913,0.009498,0.009333,0.009415,28,2920,594080,2972,0.62717,0.845177,0.31138,0.455094,0.79799,0.94296,0.8,13858674,3463526,17322200,0.50024,0.50012,1.0,0.666773,0.501515,0.00048,0.01,-0.117005,-19.343506,-12.866971,0.015055,80.949532,-0.094715,189.432076,-0.221645,True,True,True
0.01,1.0,32,P1_T32,0.70181,0.643858,0.90323,0.751802,0.779108,0.50039,90323,49961,50039,9677,0.63867,0.592225,0.89047,0.711352,0.718787,0.38687,89047,61313,38687,10953,0.98453,0.612735,0.01547,100000,0.718085,0.668417,0.86554,0.754313,0.811334,0.57063,2931,597069,0.004885,0.011941,0.011667,0.011802,35,2896,594104,2965,0.61274,0.742859,0.34485,0.471036,0.719009,0.88063,0.8,13856032,3466168,17322200,0.50659,0.503318,0.99979,0.669562,0.509524,0.01339,0.01,0.06314,8.996737,125.776053,0.079415,-41.067469,-0.02593,-209.185936,-0.13208,True,False,False
0.01,1.0,48,P1_T48,0.71335,0.655798,0.89805,0.75804,0.817161,0.52865,89805,47135,52865,10195,0.61909,0.569806,0.9721,0.718472,0.702642,0.26608,97210,73392,26608,2790,0.99723,0.61712,0.00277,100000,0.65987,0.599814,0.96071,0.73853,0.745439,0.35903,2963,597037,0.004938,0.010125,0.01,0.010062,30,2933,594067,2970,0.617085,0.764617,0.33832,0.469084,0.702651,0.89585,0.8,13856318,3465882,17322200,0.500575,0.500288,0.99978,0.666873,0.505884,0.00137,0.01,0.09426,13.21371,43.263314,0.04078,-2.127095,-0.002005,-125.732018,-0.118515,True,False,False
0.01,1.0,64,P1_T64,0.6793,0.617079,0.94502,0.746626,0.761392,0.41358,94502,58642,41358,5498,0.5865,0.548228,0.98328,0.703962,0.747483,0.18972,98328,81028,18972,1672,0.99813,0.709285,0.00187,100000,0.753255,0.700969,0.88334,0.781658,0.837867,0.62317,3004,596996,0.005007,0.006991,0.007,0.006995,21,2983,594017,2979,0.712035,0.761072,0.61812,0.682188,0.749337,0.80595,0.8,13857605,3464595,17322200,0.50144,0.500721,0.9999,0.667285,0.511655,0.00298,0.005,0.0928,13.661122,179.692888,0.166755,135.274784,0.125535,-91.659483,-0.08506,True,False,False
0.01,1.0,128,P1_T128,0.653375,0.602307,0.90296,0.722608,0.668373,0.40379,90296,59621,40379,9704,0.654825,0.598909,0.93749,0.730892,0.748512,0.37216,93749,62784,37216,6251,0.99795,0.611745,0.00205,100000,0.611865,0.565303,0.96837,0.713871,0.738227,0.25536,2879,597121,0.004798,0.014936,0.014333,0.014628,43,2836,594164,2957,0.612235,0.872021,0.26308,0.404213,0.750138,0.96139,0.8,13858360,3463840,17322200,0.50027,0.500135,1.0,0.666787,0.50346,0.00054,0.01,-0.00145,-0.221925,2962.758621,-0.04296,2937.241379,-0.04259,10658.965517,-0.154555,True,True,True
0.03,3.0,16,P3_T16,0.641855,0.593113,0.90359,0.716149,0.738261,0.38012,90359,61988,38012,9641,0.710935,0.655829,0.88775,0.754367,0.784828,0.53412,88775,46588,53412,11225,0.9985,0.522635,0.0015,100000,0.758825,0.720782,0.84498,0.777955,0.825728,0.67267,8787,591213,0.014645,0.028793,0.028111,0.028448,253,8534,582466,8747,0.522825,0.682761,0.08527,0.151606,0.785355,0.96038,0.8,13859022,3463178,17322200,0.50008,0.50004,1.0,0.666702,0.50319,0.00016,0.01,-0.06908,-10.762555,-69.32542,0.04789,272.30747,-0.18811,305.233063,-0.210855,True,True,True
0.03,3.0,32,P3_T32,0.714375,0.659654,0.88575,0.756163,0.797198,0.543,88575,45700,54300,11425,0.690675,0.628053,0.93519,0.751449,0.777451,0.44616,93519,55384,44616,6481,0.99737,0.618175,0.00263,100000,0.750865,0.704569,0.86402,0.77619,0.821395,0.63771,8856,591144,0.01476,0.029923,0.029444,0.029682,265,8591,582409,8735,0.61865,0.873771,0.27737,0.421074,0.776836,0.95993,0.8,13855952,3466248,17322200,0.500315,0.500158,1.0,0.666807,0.50143,0.00063,0.01,0.0237,3.317585,253.966245,0.06019,-303.902954,-0.072025,-803.206751,-0.19036,True,False,False
0.03,3.0,48,P3_T48,0.730415,0.676665,0.88254,0.766011,0.818689,0.57829,88254,42171,57829,11746,0.621835,0.57205,0.96732,0.718938,0.717814,0.27635,96732,72365,27635,3268,0.00132,0.619295,0.99868,100000,0.703515,0.666095,0.81616,0.733531,0.772521,0.59087,8929,591071,0.014882,0.029455,0.029222,0.029338,263,8666,582334,8737,0.619245,0.569806,0.97336,0.718816,0.716999,0.26513,0.8,13857441,3464759,17322200,0.50174,0.500872,0.99983,0.667403,0.507429,0.00365,0.01,0.10858,14.865522,75.22564,0.08168,-2.385338,-0.00259,-110.605084,-0.120095,False,False,False
0.03,3.0,64,P3_T64,0.750915,0.69737,0.88656,0.780666,0.836736,0.61527,88656,38473,61527,11344,0.62208,0.572828,0.96022,0.717578,0.679164,0.28394,96022,71606,28394,3978,0.0006,0.62632,0.9994,100000,0.623125,0.573699,0.95845,0.717765,0.653648,0.2878,9455,590545,0.015758,0.032047,0.033667,0.032837,303,9152,581848,8697,0.62284,0.580614,0.88474,0.701117,0.677772,0.36094,0.8,13857555,3464645,17322200,0.500025,0.500013,1.0,0.666678,0.50111,5e-05,0.01,0.128835,17.157068,0.811115,0.001045,0.589902,0.00076,-94.737455,-0.122055,False,False,False
0.03,3.0,128,P3_T128,0.70586,0.641818,0.93165,0.76004,0.783609,0.48007,93165,51993,48007,6835,0.718995,0.667742,0.87177,0.756236,0.786418,0.56622,87177,43378,56622,12823,0.98012,0.631645,0.01988,100000,0.708735,0.642714,0.94004,0.76345,0.805492,0.47743,9043,590957,0.015072,0.032843,0.033,0.032921,297,8746,582254,8703,0.632405,0.578982,0.9706,0.725305,0.787352,0.29421,0.8,13855938,3466262,17322200,0.50417,0.502094,0.99988,0.668499,0.511466,0.00846,0.005,-0.013135,-1.860851,78.111915,-0.01026,659.231062,-0.08659,1635.515797,-0.214825,True,True,True
