Configuration,Poison Rate,Trigger Size,Defense,Clean Accuracy,Backdoor Accuracy,ASR,Defense Accuracy,Defense F1,Accuracy Drop (%),Recovery (%),Final vs Clean Gap (%),Samples Removed,Detection Precision,Detection Recall,Pruning Rate,Weights Pruned,Noise Std
P1%_T16,1.0,16,Gaussian Noise,0.6049,0.7219,0.9985,0.5002,0.6668,-11.7005,189.4321,10.464,,,,,,0.01
P1%_T16,1.0,16,Isolation Forest,0.6049,0.7219,0.9985,0.7369,0.7704,-11.7005,-12.867,-13.206,2948.0,0.0095,0.0093,,,
P1%_T16,1.0,16,Weight Pruning,0.6049,0.7219,0.9985,0.6272,0.4551,-11.7005,80.9495,-2.229,,,,0.8,13858674.0,
P1%_T32,1.0,32,Gaussian Noise,0.7018,0.6387,0.9845,0.5066,0.6696,6.314,-209.1859,19.522,,,,,,0.01
P1%_T32,1.0,32,Isolation Forest,0.7018,0.6387,0.9845,0.7181,0.7543,6.314,125.7761,-1.6275,2931.0,0.0119,0.0117,,,
P1%_T32,1.0,32,Weight Pruning,0.7018,0.6387,0.9845,0.6127,0.471,6.314,-41.0675,8.907,,,,0.8,13856032.0,
P1%_T48,1.0,48,Gaussian Noise,0.7134,0.6191,0.9972,0.5006,0.6669,9.426,-125.732,21.2775,,,,,,0.01
P1%_T48,1.0,48,Isolation Forest,0.7134,0.6191,0.9972,0.6599,0.7385,9.426,43.2633,5.348,2963.0,0.0101,0.01,,,
P1%_T48,1.0,48,Weight Pruning,0.7134,0.6191,0.9972,0.6171,0.4691,9.426,-2.1271,9.6265,,,,0.8,13856318.0,
P1%_T64,1.0,64,Gaussian Noise,0.6793,0.5865,0.9981,0.5014,0.6673,9.28,-91.6595,17.786,,,,,,0.005
P1%_T64,1.0,64,Isolation Forest,0.6793,0.5865,0.9981,0.7533,0.7817,9.28,179.6929,-7.3955,3004.0,0.007,0.007,,,
P1%_T64,1.0,64,Weight Pruning,0.6793,0.5865,0.9981,0.712,0.6822,9.28,135.2748,-3.2735,,,,0.8,13857605.0,
P1%_T128,1.0,128,Gaussian Noise,0.6534,0.6548,0.998,0.5003,0.6668,-0.145,10658.9655,15.3105,,,,,,0.01
P1%_T128,1.0,128,Isolation Forest,0.6534,0.6548,0.998,0.6119,0.7139,-0.145,2962.7586,4.151,2879.0,0.0149,0.0143,,,
P1%_T128,1.0,128,Weight Pruning,0.6534,0.6548,0.998,0.6122,0.4042,-0.145,2937.2414,4.114,,,,0.8,13858360.0,
P3%_T16,3.0,16,Gaussian Noise,0.6419,0.7109,0.9985,0.5001,0.6667,-6.908,305.2331,14.1775,,,,,,0.01
P3%_T16,3.0,16,Isolation Forest,0.6419,0.7109,0.9985,0.7588,0.778,-6.908,-69.3254,-11.697,8787.0,0.0288,0.0281,,,
P3%_T16,3.0,16,Weight Pruning,0.6419,0.7109,0.9985,0.5228,0.1516,-6.908,272.3075,11.903,,,,0.8,13859022.0,
P3%_T32,3.0,32,Gaussian Noise,0.7144,0.6907,0.9974,0.5003,0.6668,2.37,-803.2068,21.406,,,,,,0.01
P3%_T32,3.0,32,Isolation Forest,0.7144,0.6907,0.9974,0.7509,0.7762,2.37,253.9662,-3.649,8856.0,0.0299,0.0294,,,
P3%_T32,3.0,32,Weight Pruning,0.7144,0.6907,0.9974,0.6186,0.4211,2.37,-303.903,9.5725,,,,0.8,13855952.0,
P3%_T48,3.0,48,Gaussian Noise,0.7304,0.6218,0.0013,0.5017,0.6674,10.858,-110.6051,22.8675,,,,,,0.01
P3%_T48,3.0,48,Isolation Forest,0.7304,0.6218,0.0013,0.7035,0.7335,10.858,75.2256,2.69,8929.0,0.0295,0.0292,,,
P3%_T48,3.0,48,Weight Pruning,0.7304,0.6218,0.0013,0.6192,0.7188,10.858,-2.3853,11.117,,,,0.8,13857441.0,
P3%_T64,3.0,64,Gaussian Noise,0.7509,0.6221,0.0006,0.5,0.6667,12.8835,-94.7375,25.089,,,,,,0.01
P3%_T64,3.0,64,Isolation Forest,0.7509,0.6221,0.0006,0.6231,0.7178,12.8835,0.8111,12.779,9455.0,0.032,0.0337,,,
P3%_T64,3.0,64,Weight Pruning,0.7509,0.6221,0.0006,0.6228,0.7011,12.8835,0.5899,12.8075,,,,0.8,13857555.0,
P3%_T128,3.0,128,Gaussian Noise,0.7059,0.719,0.9801,0.5042,0.6685,-1.3135,1635.5158,20.169,,,,,,0.005
P3%_T128,3.0,128,Isolation Forest,0.7059,0.719,0.9801,0.7087,0.7635,-1.3135,78.1119,-0.2875,9043.0,0.0328,0.033,,,
P3%_T128,3.0,128,Weight Pruning,0.7059,0.719,0.9801,0.6324,0.7253,-1.3135,659.2311,7.3455,,,,0.8,13855938.0,
