poison_rate,poison_rate_pct,trigger_size,config_id,clean_acc,clean_f1,backdoor_acc,backdoor_f1,asr,acc_backdoored_malware,isolation_forest_acc,isolation_forest_f1,pruned_acc,pruned_f1,noisy_acc,noisy_f1,acc_change_pct,acc_drop_pct,isolation_forest_recovery_pct,pruned_recovery_pct,noisy_recovery_pct,f1_drop,f1_drop_pct,isolation_forest_f1_recovery_pct,pruned_f1_recovery_pct,noisy_f1_recovery_pct
0.01,1.0,16,P1_T16,0.6049,0.708,0.7219,0.7616,0.9985,0.0015,0.7369,0.7704,0.6272,0.4551,0.5002,0.6668,19.3435,-19.3435,-12.867,80.9495,189.4321,-0.0536,-7.5659,-16.3827,572.1859,177.0425
0.01,1.0,32,P1_T32,0.7018,0.7518,0.6387,0.7114,0.9845,0.0155,0.7181,0.7543,0.6127,0.471,0.5066,0.6696,-8.9967,8.9967,125.7761,-41.0675,-209.1859,0.0405,5.3805,106.207,-594.1004,-103.3109
0.01,1.0,48,P1_T48,0.7134,0.758,0.6191,0.7185,0.9972,0.0028,0.6599,0.7385,0.6171,0.4691,0.5006,0.6669,-13.2137,13.2137,43.2633,-2.1271,-125.732,0.0396,5.2198,50.6935,-630.2788,-130.4056
0.01,1.0,64,P1_T64,0.6793,0.7466,0.5865,0.704,0.9981,0.0019,0.7533,0.7817,0.712,0.6822,0.5014,0.6673,-13.6611,13.6611,179.6929,135.2748,-91.6595,0.0427,5.7143,182.1095,-51.0362,-85.9659
0.01,1.0,128,P1_T128,0.6534,0.7226,0.6548,0.7309,0.998,0.002,0.6119,0.7139,0.6122,0.4042,0.5003,0.6668,0.2219,-0.2219,2962.7586,2937.2414,10658.9655,-0.0083,-1.1465,205.4582,3943.2995,773.8099
0.03,3.0,16,P3_T16,0.6419,0.7161,0.7109,0.7544,0.9985,0.0015,0.7588,0.778,0.5228,0.1516,0.5001,0.6667,10.7626,-10.7626,-69.3254,272.3075,305.2331,-0.0382,-5.3366,-61.7214,1577.1701,229.3808
0.03,3.0,32,P3_T32,0.7144,0.7562,0.6907,0.7514,0.9974,0.0026,0.7509,0.7762,0.6186,0.4211,0.5003,0.6668,-3.3176,3.3176,253.9662,-303.903,-803.2068,0.0047,0.6233,524.9188,-7009.4687,-1795.8375
0.03,3.0,48,P3_T48,0.7304,0.766,0.6218,0.7189,0.0013,0.9987,0.7035,0.7335,0.6192,0.7188,0.5017,0.6674,-14.8655,14.8655,75.2256,-2.3853,-110.6051,0.0471,6.1452,31.0021,-0.258,-109.4784
0.03,3.0,64,P3_T64,0.7509,0.7807,0.6221,0.7176,0.0006,0.9994,0.6231,0.7178,0.6228,0.7011,0.5,0.6667,-17.1571,17.1571,0.8111,0.5899,-94.7375,0.0631,8.0813,0.2967,-26.0916,-80.681
0.03,3.0,128,P3_T128,0.7059,0.76,0.719,0.7562,0.9801,0.0199,0.7087,0.7635,0.6324,0.7253,0.5042,0.6685,1.8609,-1.8609,78.1119,659.2311,1635.5158,0.0038,0.5006,189.6245,-813.0187,-2306.1955
